,CL_integral,CL_max_rh,CL_max_rhi,CL_mean_temp,CL_min_hght,Date & time (UTC),IOP,Primary p-type,Secondary p-type,WL_depth_1,WL_depth_2,WL_integral,WL_max_hght,WL_mean_temp,bot_WL_hght,bot_cl_hght,cl_base_hght,cl_depth_hght,first_temp,manobs_with_mix,max_WL_temp,min_CL_temp,site,site_for_title,top_WL_hght,top_cl_hght,two_files,wl_depth_hght,rounded_time,site_date,Sounding,file,pr,temp_2m,relative_humidity
1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2022-02-02 21:10:00,Albany2022-02-02 21:10:00,True,upperair.sounding.202202022100.Albany_DOW-US_Plattsburgh.txt,,,
0,,,,,,2022-02-03 01:00:00,IOP1,,,,,,,,,,,,4.97,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030100.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 01:00:00,Albany2022-02-03 01:00:00,False,,,,
1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2022-02-03 01:10:00,Albany2022-02-03 01:10:00,True,upperair.sounding.202202030100.Albany_DOW-US_Plattsburgh.txt,,,
1,,,,,,2022-02-03 02:00:00,IOP1,RA,,,,,,,,,,,4.261333333333333,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030100.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 02:00:00,Albany2022-02-03 02:00:00,False,,,,
1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2022-02-03 02:40:00,Albany2022-02-03 02:40:00,True,upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,,,
2,,,,,,2022-02-03 03:00:00,IOP1,RA,,,,,,,,,,,3.681904761904762,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 03:00:00,Albany2022-02-03 03:00:00,False,,,,
3,,,,,,2022-02-03 03:10:00,IOP1,RA,,,,,,,,,,,3.6325396825396825,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 03:10:00,Albany2022-02-03 03:10:00,False,,,,
4,,,,,,2022-02-03 03:30:00,IOP1,,,,,,,,,,,,3.5338095238095235,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 03:30:00,Albany2022-02-03 03:30:00,False,,,,
5,,,,,,2022-02-03 03:40:00,IOP1,,,,,,,,,,,,3.4844444444444442,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 03:40:00,Albany2022-02-03 03:40:00,False,,,,
6,,,,,,2022-02-03 03:50:00,IOP1,,,,,,,,,,,,3.435079365079365,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 03:50:00,Albany2022-02-03 03:50:00,False,,,,
7,,,,,,2022-02-03 04:00:00,IOP1,,,,,,,,,,,,3.52,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 04:00:00,Albany2022-02-03 04:00:00,False,,,,
8,,,,,,2022-02-03 04:10:00,IOP1,,,,,,,,,,,,3.4911111111111106,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 04:10:00,Albany2022-02-03 04:10:00,True,upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,,,
9,,,,,,2022-02-03 04:20:00,IOP1,,,,,,,,,,,,3.4622222222222216,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 04:20:00,Albany2022-02-03 04:20:00,False,,,,
10,,,,,,2022-02-03 04:30:00,IOP1,,,,,,,,,,,,3.433333333333333,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 04:30:00,Albany2022-02-03 04:30:00,False,,,,
11,,,,,,2022-02-03 04:50:00,IOP1,,,,,,,,,,,,3.375555555555555,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 04:50:00,Albany2022-02-03 04:50:00,False,,,,
12,,,,,,2022-02-03 05:00:00,IOP1,,,,,,,,,,,,3.3466666666666662,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 05:00:00,Albany2022-02-03 05:00:00,False,,,,
13,,,,,,2022-02-03 05:30:00,IOP1,,,,,,,,,,,,3.38,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 05:30:00,Albany2022-02-03 05:30:00,False,,,,
14,,,,,,2022-02-03 05:40:00,IOP1,,,,,,,,,,,,3.3047555555555554,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 05:40:00,Albany2022-02-03 05:40:00,True,upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,,,
15,,,,,,2022-02-03 05:50:00,IOP1,RA,,,,,,,,,,,3.229511111111111,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 05:50:00,Albany2022-02-03 05:50:00,False,,,,
16,,,,,,2022-02-03 06:00:00,IOP1,RA,,,,,,,,,,,3.154266666666666,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 06:00:00,Albany2022-02-03 06:00:00,False,,,,
17,,,,,,2022-02-03 06:10:00,IOP1,RA,,,,,,,,,,,3.079022222222222,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 06:10:00,Albany2022-02-03 06:10:00,False,,,,
18,,,,,,2022-02-03 06:20:00,IOP1,RA,,,,,,,,,,,3.0037777777777777,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 06:20:00,Albany2022-02-03 06:20:00,False,,,,
19,,,,,,2022-02-03 06:30:00,IOP1,RA,,,,,,,,,,,2.9285333333333328,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 06:30:00,Albany2022-02-03 06:30:00,False,,,,
20,,,,,,2022-02-03 06:40:00,IOP1,RA,,,,,,,,,,,2.8532888888888888,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 06:40:00,Albany2022-02-03 06:40:00,False,,,,
21,,,,,,2022-02-03 07:00:00,IOP1,RA,,,,,,,,,,,,RA,,,Albany,DOW-US-Plattsburgh,,,,,2022-02-03 07:00:00,Albany2022-02-03 07:00:00,False,,,,
1705,-0.2435185185185186,93.24481481481482,93.27520466682216,-0.01623456790123457,944.0,,,,,,,1624.7146612509346,939.0,1.9935149217802879,129.0,944.0,944.0,10.0,,,3.2563636363636363,-0.024259259259259192,,,939.0,954.0,,810.0,2022-02-03 07:10:00,Albany2022-02-03 07:10:00,True,upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt,,,
22,,,,,,2022-02-03 07:20:00,IOP1,RA,,,,,,,,,,,,RA,,,Albany,DOW-US-Plattsburgh,,,,,2022-02-03 07:20:00,Albany2022-02-03 07:20:00,False,,,,
23,,,,,,2022-02-03 07:30:00,IOP1,RA,,,,,,,,,,,,RA,,,Albany,DOW-US-Plattsburgh,,,,,2022-02-03 07:30:00,Albany2022-02-03 07:30:00,False,,,,
24,,,,,,2022-02-03 07:50:00,IOP1,RA,,,,,,,,,,,,RA,,,Albany,DOW-US-Plattsburgh,,,,,2022-02-03 07:50:00,Albany2022-02-03 07:50:00,False,,,,
25,,,,,,2022-02-03 08:20:00,IOP1,RA,,,,,,,,,,,,RA,,,Albany,DOW-US-Plattsburgh,,,,,2022-02-03 08:20:00,Albany2022-02-03 08:20:00,False,,,,
26,,,,,,2022-02-10 08:00:00,IOP2,,,,,,,,,,,,3.1,,,,Albany,DOW-US-N,,,"soundings_wintremix/upperair.sounding.202202100800.Albany_DOW-US_N.txt,soundings_wintremix/upperair.sounding.202202101030.Albany_DOW-US_N.txt",0.0,2022-02-10 08:00:00,Albany2022-02-10 08:00:00,False,,,,
1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2022-02-10 08:10:00,Albany2022-02-10 08:10:00,True,upperair.sounding.202202100800.Albany_DOW-US_N.txt,,,
