,CL_integral,CL_max_rh,CL_max_rhi,CL_mean_temp,CL_min_hght,Date & time (UTC),IOP,Primary p-type,Secondary p-type,WL_depth_1,WL_depth_2,WL_integral,WL_max_hght,WL_mean_temp,bot_WL_hght,bot_cl_hght,cl_base_hght,cl_depth_hght,first_temp,manobs_with_mix,max_WL_temp,min_CL_temp,site,site_for_title,top_WL_hght,top_cl_hght,two_files,wl_depth_hght,rounded_time,site_date,Sounding,file,pr,temp_2m,relative_humidity
1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2022-02-02 21:10:00,Albany2022-02-02 21:10:00,True,upperair.sounding.202202022100.Albany_DOW-US_Plattsburgh.txt,,,
0,-373.95693272239004,62.34666666666667,61.106182243679,-0.6560647942498069,345.0,2022-02-03 01:00:00,IOP1,,,,,211.2785840539332,1460.0,0.4971260801269015,1040.0,345.0,345.0,565.0,4.97,,0.8901162708118645,-1.1585277306837247,Albany,DOW-US-Plattsburgh,1460.0,910.0,"soundings_wintremix/upperair.sounding.202202030100.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt",420.0,2022-02-03 01:00:00,Albany2022-02-03 01:00:00,False,,,,
1703,-373.95693272239004,62.34666666666667,61.106182243679,-0.6560647942498069,345.0,,,,,,,211.2785840539332,1460.0,0.4971260801269015,1040.0,345.0,345.0,565.0,,,0.8901162708118645,-1.1585277306837247,,,1460.0,910.0,,420.0,2022-02-03 01:10:00,Albany2022-02-03 01:10:00,True,upperair.sounding.202202030100.Albany_DOW-US_Plattsburgh.txt,,,
1,-24.16305240929857,60.796918238993705,58.90840441242251,-0.10739134404132696,685.0,2022-02-03 02:00:00,IOP1,RA,,,,340.1468765859969,680.0,0.5864601320448223,105.0,685.0,685.0,220.0,4.261333333333333,RA,1.8730355892792327,-0.2228215448944465,Albany,DOW-US-Plattsburgh,680.0,905.0,"soundings_wintremix/upperair.sounding.202202030100.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt",575.0,2022-02-03 02:00:00,Albany2022-02-03 02:00:00,False,,,,
1704,-6.376443486151346,66.43905660377358,64.66235258875984,-0.10627405810252243,843.0,,,,,,,569.4281168806045,838.0,0.7800385162748006,113.0,843.0,843.0,55.0,,,2.130408665035589,-0.19393149620622196,,,838.0,898.0,,725.0,2022-02-03 02:40:00,Albany2022-02-03 02:40:00,True,upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,,,
2,-4.138192782785468,59.87773699294532,57.98688252438054,-0.08276385565570935,713.0,2022-02-03 03:00:00,IOP1,RA,,,,400.7024720358012,708.0,0.6678374533930019,113.0,713.0,713.0,45.0,3.681904761904762,RA,1.3990627207397854,-0.12937279966718684,Albany,DOW-US-Plattsburgh,708.0,758.0,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",595.0,2022-02-03 03:00:00,Albany2022-02-03 03:00:00,False,,,,
3,,,,,,2022-02-03 03:10:00,IOP1,RA,,,,,,,,,,,3.6325396825396825,RA,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 03:10:00,Albany2022-02-03 03:10:00,False,,,,
4,,,,,,2022-02-03 03:30:00,IOP1,,,,,,,,,,,,3.5338095238095235,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 03:30:00,Albany2022-02-03 03:30:00,False,,,,
5,-1.599398624966371,53.69456538170823,51.92934195694311,-0.3198797249932742,113.0,2022-02-03 03:40:00,IOP1,,,,,219.3223307864137,618.0,0.43430164512161107,118.0,113.0,113.0,0.0,3.4844444444444442,,0.935591891458815,-0.3198797249932742,Albany,DOW-US-Plattsburgh,618.0,113.0,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",500.0,2022-02-03 03:40:00,Albany2022-02-03 03:40:00,False,,,,
6,-1.2464023298921718,58.486213675213676,56.57773556343992,-0.035611495139776336,463.0,2022-02-03 03:50:00,IOP1,,,,,181.62058584361978,458.0,0.5341781936577051,123.0,463.0,463.0,30.0,3.435079365079365,,0.903234260697408,-0.07023091052025245,Albany,DOW-US-Plattsburgh,458.0,493.0,"soundings_wintremix/upperair.sounding.202202030230.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt",335.0,2022-02-03 03:50:00,Albany2022-02-03 03:50:00,False,,,,
7,,,,,,2022-02-03 04:00:00,IOP1,,,,,,,,,,,,3.52,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 04:00:00,Albany2022-02-03 04:00:00,False,,,,
8,,,,,,2022-02-03 04:10:00,IOP1,,,,,,,,,,,,3.4911111111111106,,,,Albany,DOW-US-Plattsburgh,,,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",0.0,2022-02-03 04:10:00,Albany2022-02-03 04:10:00,True,upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,,,
9,-2.006569085858846,52.740543981481466,51.01623192830301,-0.40131381717176917,125.0,2022-02-03 04:20:00,IOP1,,,,,144.5421430912742,430.0,0.47390866587303015,130.0,125.0,125.0,0.0,3.4622222222222216,,0.8125882719425856,-0.40131381717176917,Albany,DOW-US-Plattsburgh,430.0,125.0,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",300.0,2022-02-03 04:20:00,Albany2022-02-03 04:20:00,False,,,,
10,-3.6449145048984173,57.11221974206348,55.23253481252097,-0.3644914504898417,125.0,2022-02-03 04:30:00,IOP1,,,,,135.33164015854263,425.0,0.45875132257133094,135.0,125.0,125.0,5.0,3.433333333333333,,0.7841208606909416,-0.6601467603938204,Albany,DOW-US-Plattsburgh,425.0,130.0,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",290.0,2022-02-03 04:30:00,Albany2022-02-03 04:30:00,False,,,,
11,-8.350381612680922,51.7016360780423,50.02841003971256,-0.8350381612680922,125.0,2022-02-03 04:50:00,IOP1,,,,,118.50435650714317,420.0,0.40863571209359706,135.0,125.0,125.0,5.0,3.375555555555555,,0.7296529144609015,-1.1778126468379257,Albany,DOW-US-Plattsburgh,420.0,130.0,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",285.0,2022-02-03 04:50:00,Albany2022-02-03 04:50:00,False,,,,
12,-11.082081626662344,57.223086622807,55.34861937358139,-0.7388054417774895,125.0,2022-02-03 05:00:00,IOP1,,,,,110.55281416163041,415.0,0.39483147914868005,140.0,125.0,125.0,10.0,3.3466666666666662,,0.7046745491080356,-1.4366455900599786,Albany,DOW-US-Plattsburgh,415.0,135.0,"soundings_wintremix/upperair.sounding.202202030400.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt",275.0,2022-02-03 05:00:00,Albany2022-02-03 05:00:00,False,,,,
13,-2.325465360599805,52.81015624999998,51.128383956573096,-0.465093072119961,135.0,2022-02-03 05:30:00,IOP1,,,,,91.00830426215418,370.0,0.38726937983895415,140.0,135.0,135.0,0.0,3.38,,0.6364683468696569,-0.465093072119961,Albany,DOW-US-Plattsburgh,370.0,135.0,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",230.0,2022-02-03 05:30:00,Albany2022-02-03 05:30:00,False,,,,
14,-2.325465360599805,52.81015624999998,51.128383956573096,-0.465093072119961,135.0,2022-02-03 05:40:00,IOP1,,,,,91.00830426215418,370.0,0.38726937983895415,140.0,135.0,135.0,0.0,3.3047555555555554,,0.6364683468696569,-0.465093072119961,Albany,DOW-US-Plattsburgh,370.0,135.0,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",230.0,2022-02-03 05:40:00,Albany2022-02-03 05:40:00,True,upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,,,
15,-6.784393836910691,67.46482339181286,65.71368155760223,-0.0678439383691069,445.0,2022-02-03 05:50:00,IOP1,RA,,,,112.39075263698606,440.0,0.368494270940938,140.0,445.0,445.0,95.0,3.229511111111111,RA,0.6886164655569135,-0.13223053486639622,Albany,DOW-US-Plattsburgh,440.0,540.0,"soundings_wintremix/upperair.sounding.202202030530.Albany_DOW-US_Plattsburgh.txt,soundings_wintremix/upperair.sounding.202202030700.Albany_DOW-US_Plattsburgh.txt",300.0,2022-02-03 05:50:00,Albany2022-02-03 05:50:00,False,,,,
