Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
BF,2/3/2020 1:00:00,None,None, , ,yes,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 2:00:00,RA,None, , ,yes,,8.0,Light rain starting right before report,No,,,None,,,,,,,
BF,2/3/2022 3:00:00,RA,None, , ,yes,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 3:10:00,DZ,None, , ,yes,,8.0,Precip has decreased in intensity ,No,,,None,,,,,,,
BF,2/3/2022 3:30:00,None,None, , ,yes,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 3:40:00,None,None, , ,yes,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 3:50:00,None,None, , ,no,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 4:00:00,None,None, , ,no,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 4:10:00,None,None, , ,no,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 4:20:00,None,None, , ,no,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 4:30:00,None,None, , ,yes,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 4:50:00,None,None, , ,no,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 5:00:00,None,None, , ,yes,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 5:30:00,None,None, , ,no,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 5:40:00,None,None, , ,no,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 5:50:00,DZ,None, , ,yes,,8.0,,No,,,None,,,,,,,
BF,2/3/2022 6:00:00,DZ,None, , ,yes,,8.0,Very light drizzle,No,,,None,,,,,,,
BF,2/3/2022 6:10:00,DZ,None, , ,yes,,8.0,,No,,,None,,,,,,,
BH,2/3/2022 6:20:00,RA,None, , ,yes,,,Too dark to determine the cloud type and sky cover,No,,,None,,,,,,,
BH,2/3/2022 6:30:00,RA,None, , ,yes,,,Too dark to determine to cloud type and amount,No,,,None,,,,,,,
BH,2/3/2022 6:40:00,RA,None, , ,yes,,,Too dark to determine the cloud type and amount,No,,,None,,,,,,,
BH,2/3/2022 7:00:00,RA,None, , ,yes,,,,No,,,None,,,,,,,
BH,2/3/2022 7:20:00,RA,None, , ,yes,,,,No,,,None,,,,,,,
BH,2/3/2022 7:30:00,RA,None, , ,yes,,,,No,,,None,,,,,,,
BH,2/3/2022 7:50:00,RA,None, , ,yes,,,,No,,,None,,,,,,,
BF,2/3/2022 8:20:00,RA,None, , ,yes,,8.0,,No,,,None,,,,,,,
