Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
ML,2/2/2022 23:00:00,None,None, , ,no,St,,,No,,,None,,,,,,,
MG,2/3/2022 0:00:00,None,None, , ,no,,,,No,,,None,,,,,,,
ML,2/3/2022 1:00:00,None,None, , ,no,,,,No,,,None,,,,,,,
ML,2/3/2022 1:10:00,None,None, , ,no,,,,No,,,None,,,,,,,
ML,2/3/2022 1:20:00,None,None, , ,no,,,,No,,,None,,,,,,,
MG,2/3/2022 1:47:00,None,None, , ,no,,,,No,,,None,,,,,,,
MG,2/3/2022 2:30:00,SN,None, , ,no,,,,No,,,None,,,,,,,
MG,2/3/2022 2:45:00,RA,None, , ,no,,,,No,,,None,,,,,,,
ML,2/3/2022 2:50:00,SN,RA, , ,no,,,Wet snow,No,,Melting,None,,,,,,,
ML,2/3/2022 3:00:00,RA,None, , ,no,,,Low fog,No,,,None,,,,,,,
MG,2/3/2022 3:10:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
ML,2/3/2022 3:20:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 3:30:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 3:40:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 4:00:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 4:10:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 4:20:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 4:30:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 4:40:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 4:50:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 5:00:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 5:10:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 5:34:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 5:40:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 5:50:00,RA,None, , ,no,,,light fog,No,,,None,,,,,,,
MG,2/3/2022 6:00:00,RA,None, , ,no,,,,No,,,None,,,,,,,
MG,2/3/2022 6:10:00,RA,None, , ,no,,,,No,,,None,,,,,,,
MG,2/3/2022 6:20:00,RA,None, , ,no,,,,No,,,None,,,,,,,
MG,2/3/2022 6:30:00,RA,None, , ,no,,,,No,,,None,,,,,,,
MG,2/3/2022 6:40:00,RA,None, , ,no,,,,No,,,None,,,,,,,
MG,2/3/2022 7:00:00,SN,RA, , ,no,,,wet snow,No,,,None,,,,,,,
MG,2/3/2022 7:10:00,SN,RA, , ,no,,,wet snow,No,,,None,,,,,,,
MG,2/3/2022 7:20:00,SN,RA, , ,no,,,wet snow,No,,,None,,,,,,,
MG,2/3/2022 7:30:00,SN,RA, , ,no,,,wet snow,No,,,None,,,,,,,
MG,2/3/2022 7:40:00,SN,RA, , ,no,,,wet snow,No,,,None,,,,,,,
MG,2/3/2022 7:50:00,SN,RA, , ,no,,,wet snow,No,,,None,,,,,,,
MG,2/3/2022 8:00:00,SN,RA, , ,no,,,wet snow,No,,Photo taken with Olympus,None,,,,,,,
MG,2/3/2022 8:10:00,SN,RA, , ,no,,,wet snow,No,,,None,,,,,,,
