Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
AW,2/17/2022 22:43:21,RA,None, , ,no,Ns,8,light winds. Warm. Temps above 7C when leaving St. H.,No,,,None,,,,,,,
AW,2/17/2022 23:00:00,RA,None, , ,no,,8,,No,,,None,,,,,,,
AW,2/17/2022 23:20:00,RA,None, , ,no,,8,,No,,,None,,,,,,,
AW,2/17/2022 23:40:00,RA,None, , ,no,,8,Rain is a bit steadier now,No,,,None,,,,,,,
AW,2/18/2022 0:00:00,RA,None, , ,no,,8,,No,,,None,,,,,,,
AW,2/18/2022 0:20:00,RA,None, , ,no,,8,,No,,,None,,,,,,,
AW,2/18/2022 0:40:00,RA,None, , ,no,,8,very dense fog!,No,,,None,,,,,,,
AW,2/18/2022 1:00:00,RA,None, , ,no,,8,visibility improved markedly,No,,,None,,,,,,,
AW,2/18/2022 1:20:00,RA,None, , ,no,,8,much colder and postfrontal with NE winds,No,,,None,,,,,,,
AW,2/18/2022 1:40:00,DZ,None, , ,no,,8,,No,,,None,,,,,,,
AW,2/18/2022 2:00:00,RA,None, , ,no,,8,,No,,,None,,,,,,,
AW,2/18/2022 2:20:00,FZRA,None, , ,no,,8,"light rain. moisture starting to freeze on cold surfaces, but not from falling preciptation.",No,,,None,,,,,,,
AW,2/18/2022 2:40:00,FZRA,None, , ,no,,8,ice accretion beginning on cold surfaces. roads starting to ice up.,No,,,None,,,,,,,
AW,2/18/2022 3:00:00,PL,None, , ,no,,8,Heavy sleet!,No,,,None,,,,,,,
AW,2/18/2022 3:20:00,FZRA,PL, , ,no,,8,"Mix of freezing rain and ice pellets, precip rate decreased from 0300 UTC.",No,,,None,,,,,,,
AW,2/18/2022 3:30:00,PL,FZRA, , ,no,,8,"Precip rate increased again, back to predominantly PL. PL have liquid center",No,,,None,,,,,,,
AW,2/18/2022 3:40:00,PL,FZRA, , ,no,,8,Continued heavy precip rates. Predominantly pellets - clear/watery inside.,No,,,None,,,,,,,
AW,2/18/2022 3:50:00,PL,None, , ,no,,8,"Almost entirely PL now. Spherical in shape with liquid center, but less so than before.",No,,,None,,,,,,,
AW,2/18/2022 4:00:00,PL,None, , ,no,,8,PL continue. Spherical in shape and predominantly clear.,No,,,None,,,,,,,
