Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
ÉC,2/17/2022 23:20:00,RA,None, , ,yes,,,"Steady light to moderate rain, S wind 10KT",No,,,None,,,,,,,"[BH: the original ice accretion caliper readinng column is the recording that subtracted the rod thickness and was divided by 2. It has been converted to the full thickness (i.e., includes the rod diameter) after field campaign to be the same as the other forms]"
ÉC,2/17/2022 23:30:00,RA,None, , ,yes,,,"7°C, steady light/moderate rain, winds SSW 10KT",No,,,None,,,,,,,
ÉC,2/17/2022 23:40:00,RA,None, , ,yes,,,7°C -RA Wind SSW 10KT,No,,,None,,,,,,,
ÉC,2/17/2022 23:50:00,RA,None, , ,yes,,,7°C -RA Wind SW 5-10KT,No,,,None,,,,,,,
ÉC,2/18/2022 0:00:00,RA,None, , ,yes,,,7°C Wind WNW CHANGED 5-10KT,No,,,None,,,,,,,
ÉC,2/18/2022 0:10:00,RA,None, , ,yes,,,6°C Light-moderate Rain Wind W 5-10KT,No,,,None,,,,,,,
ÉC,2/18/2022 0:20:00,RA,None, , ,yes,,,6°C Moderate Rain Wind W 10KT,No,,,None,,,,,,,
ÉC,2/18/2022 0:30:00,RA,None, , ,yes,,,6°C moderate rain WNW 10KT,No,,,None,,,,,,,
ÉC,2/18/2022 0:40:00,RA,None, , ,no,,,6°C Moderate Rain Wind WNW 10KT,No,,,None,,,,,,,
ÉC,2/18/2022 0:50:00,RA,None, , ,no,,,6°C Light Rain Wind WNW 5-10KT,No,,,None,,,,,,,
MG,2/18/2022 1:00:00,RA,None, , ,yes,,,,No,,,None,,,,,,,
MG,2/18/2022 1:10:00,RA,None, , ,yes,,,,No,,,None,,,,,,,
MG,2/18/2022 1:22:00,RA,None, , ,yes,,,,No,,,None,,,,,,,
MG,2/18/2022 1:30:00,RA,None, , ,yes,,,North wind ,No,,,None,,,,,,,
MG,2/18/2022 1:40:00,RA,None, , ,yes,,,North wind 5kt,No,,,None,,,,,,,
MG,2/18/2022 1:50:00,RA,None, , ,yes,,,North wind 5-10 kt,No,,,None,,,,,,,
MG,2/18/2022 2:00:00,RA,None, , ,yes,,,WSW wind light 5deg,No,,,None,,,,,,,
MG,2/18/2022 2:10:00,RA,None, , ,yes,,,N wind 5-10 kt,No,,,None,,,,,,,
MG,2/18/2022 2:20:00,RA,None, , ,yes,,,NNE wind 15 kt. 4 deg. Moderate rain,No,,,None,,,,,,,
MG,2/18/2022 2:30:00,RA,None, , ,yes,,,NE wind. 15-20 kt . 4 deg,No,,,None,,,,,,,
ÉC,2/18/2022 2:40:00,RA,None, , ,no,,,3°C Light Rain Wind NNE 15KT,No,,,None,,,,,,,
ÉC,2/18/2022 2:50:00,RA,None, , ,no,,,2°C Light Rain Wind NNE 15-20KT,No,,,None,,,,,,,
ÉC,2/18/2022 3:00:00,RA,None, , ,no,,,1°C Light Rain Windy NNE 20-25KT,No,,,None,,,,,,,
ÉC,2/18/2022 3:10:00,RA,None, , ,yes,,,1°C Light Rain Wind NNE 15-20KT,No,,,None,,,,,,,
ÉC,2/18/2022 3:20:00,RA,None, , ,no,,,0°C Light Rain NNE wind 10-15KT,No,,,None,,,,,,,
ÉC,2/18/2022 3:30:00,RA,None, , ,no,,,0°C Light Rain NNE wind 15-20KT,No,,,None,,,,,,,
ÉC,2/18/2022 3:40:00,FZRA,RA, , ,yes,,,0°C -FZRA NNE wind 15-20KT,No,,,None,,,,,,,
ÉC,2/18/2022 3:50:00,FZRA,RA, , ,no,,,0°C -FZRA NNE wind 20-25KT,No,,,None,,,,,,,
ÉC,2/18/2022 4:00:00,FZRA,None, , ,no,,,-1°C -FZRA NNE wind 20-25KT,No,,,None,,,,,,,
ÉC,2/18/2022 4:10:00,FZRA,None, , ,yes,,,-1°C Moderate FZRA NNE wind 20G30KT,No,,,None,,,,,,,
ÉC,2/18/2022 4:20:00,FZRA,None, , ,yes,,,-1°C -FZRA NNE wind 15-20KT,No,,,None,,,,,,,
ÉC,2/18/2022 4:30:00,FZRA,None, , ,yes,,,-1°C -FZRA NNE wind 15KT,No,,,None,,,,,,,
ÉC,2/18/2022 4:40:00,FZRA,None, , ,no,,,-1°C -FZRA NNE wind 15-20KT,No,,,None,,,,,,,
ÉC,2/18/2022 4:50:00,FZRA,None, , ,no,,,-1°C -FZRA NNE wind 10-15KT,No,,,None,,,,,,,
