Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
JW,2/22/2022 22:00:00,FZRA,FZDZ,,,No,St,8,"Note, most of the below comments were written by JW after the IOP after further review of the data and supplemental information (e.g., Sentinel measurements). See 23:30 Comment.",No,Same as previous photo,,None,0,0,0,,,From start of IOP operations,"Note that we are using a temporary random metal bar (material is Aluminum, thickness will have to be measured but I believe it is approximetly two inches), not a caliper, so the ice accretion is SUBTRACTING the object thickness. The orientation was 30* wrt horizontal (measured with an Iphone app angle protractor). The location was approx. 20 feet from the shed and 30 feet from the Gault building."
JW,2/22/2022 22:10:00,FZRA,FZDZ,,,No,St,8,See 23:30 Comment.,No,Same as previous photo,,None,0,0,0,51.1,0.15,From start of IOP operations,"radial ice: 0.3mm [BH: the original ice accretion caliper readinng column is the recording that subtracted the rod thickness but was not divided by 2. It has been converted to the full thickness (i.e., includes the rod diameter) after field campaign to be the same as the other forms]"
JW,2/22/2022 22:20:00,FZRA,FZDZ,,,No,St,8,See 23:30 Comment.,No,Same as previous photo,,None,0,0,0,51.5,0.35,From start of IOP operations,radial ice: 0.7mm
JW,2/22/2022 22:30:00,FZRA,FZDZ,,,No,St,8,See 23:30 Comment.,No,Same as previous photo,,None,0,0,0,51.5,0.35,From start of IOP operations,radial ice: 0.7mm
JW,2/22/2022 22:40:00,FZRA,None,,,yes,St,8,See 23:30 Comment.,No,Same as previous photo,,None,0,0,0,51.5,0.35,From start of IOP operations,radial ice: 0.7mm
JW,2/22/2022 22:50:00,FZRA,None,,,yes,St,8,See 23:30 Comment.,No,,,Yes,0,0,0,,,From start of IOP operations,
JW,2/22/2022 23:00:00,FZRA,None,,,yes,St,8,See 23:30 Comment.,No,Same as previous photo,,Yes,0,0,0,,,From start of IOP operations,
JW,2/22/2022 23:10:00,FZRA,None,,,yes,St,8,See 23:30 Comment.,No,Same as previous photo,,Yes,0,0,0,,,From start of IOP operations,
JW,2/22/2022 23:20:00,FZRA,None,,,yes,St,8,"Upon reviewing MET and parsivel data, and based on the very first comment under ""If a frozen p-type was identified, was it visibly wet/melting?"", I have changed what we thought to be DZ to FZRA: parsivel data D size is consistent with FZRA (> 0.5mm) and not FZDZ (< 0.5mm). Ice accretion was present on the MET as well as reported changing from 0 -> 0.7. This is true from event start time (22:00 to 23:20). 22:00 surf T from sounding is -5.68 deg C. [JW]",No,Same as previous photo,,None,0,0,0,,,,
JW,2/22/2022 23:30:00,FZDZ,None,,,Yes,St,8,From 23:30 to 00:00 things get a bit trickier to define. We have a surface temp from the sentinal of -3.75 at 23:30. FZDZ still likely. N/A on manobs accretion however accretion detected around this time as seen on the MET plots.,No,Same as previous photo,,None,0,0,0,,,From start of IOP operations,
JW,2/22/2022 23:40:00,FZDZ,None,,,Yes,St,8,Same as prev. comment.,No,Same as previous photo,,None,0,0,0,,,From start of IOP operations,
JW,2/22/2022 23:50:00,FZDZ,FZRA,,,Yes,St,8,"Same as prev. comment with the exception that parsivel D size starts to get a bit larger again, so FZRA indicated as secondary type.",No,Same as previous photo,,None,0,0,0,,,From start of IOP operations,
JW,2/23/2022 0:00:00,FZRA,FZDZ,,,Yes,St,8,"At 00:00 launch, surface temp is indicated at -0.9 from sounding data. MET data shows -2.25 or so. I believe the cross over in size of droplets is important here from the parsivel. We're seeing slightly less < 0.5 mm size and slightly more > 0.5 mm size. I am therefore indicating FZRA as primary precip and FZDZ as secondary here. Accretion still present at this time according to Met data.",No,Same as previous photo,,None,0,0,0,,,From start of IOP operations,
JW,2/23/2022 0:10:00,FZRA,FZDZ,,,Yes,St,8,"Still seeing accretion and below zero temps here, AND our manobs accretion report is up to 3mm indicating there had to have been FZ precip here.",No,Same as previous photo,,Yes,0,0,0,53.8,1.5,From start of IOP operations,radial ice: 3 mm
JW,2/23/2022 0:20:00,FZRA,FZDZ,,,Yes,St,8,"Same as prev, noting warming Temp.",No,Same as previous photo,,Yes,0,0,0,53.8,1.5,From start of IOP operations,radial ice: 3 mm
JW,2/23/2022 0:30:00,FZRA,FZDZ,,,Yes,St,8,"Same as prev, noting warming Temp.",No,Same as previous photo,,Yes,0,0,0,53.8,1.5,From start of IOP operations,radial ice: 3 mm
