Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
SB,2/22/2022 22:10:00,FRDZ,None,,,no,,8.0,,No,,,None,,,,,,,"ice accretion rod info: galvanized steel pipe, outer-diameter=21.8 mm, 30 deg elevation angle mount."
MB,2/22/2022 23:00:00,FRDZ,None,,,no,,8.0,Frz drizzle just started up again,No,,,None,,,,,,,
MB,2/22/2022 23:10:00,FRDZ,None,,,yes,,8.0,,No,,,None,,,,,,,
MB,2/22/2022 23:20:00,FZRA,None,,,yes,,,Too dark,No,,,None,,,,,,,
MB,2/22/2022 23:40:00,FZRA,None,,,yes,,,,No,,,Ice accretion only,,,,22.4,0.3,From start of IOP operations,
MB,2/22/2022 23:50:00,FZRA,None,,,no,,,,No,,,None,,,,,,,
BH,2/23/2022 0:00:00,FRDZ,None,,,yes,,8.0,,No,,,None,,,,,,,
BH,2/23/2022 0:10:00,FZRA,None,,,yes,,8.0,33.3F RH100% near-zero wind,No,,,None,,,,,,,
BH,2/23/2022 0:20:00,FZRA,None,,,yes,,8.0,,No,,,Ice accretion only,,,,22.4,0.3,From start of IOP operations,
BH,2/23/2022 0:40:00,FZRA,None,,,no,,8.0,Near-zero wind RH96% ,No,,,None,,,,,,,
BH,2/23/2022 0:50:00,RA,None,,,yes,,8.0,38F,No,,,None,,,,,,,
SB,2/23/2022 1:00:00,RA,None,,,no,,8.0,,No,,,Ice accretion only,,,,22.0,0.1,From start of IOP operations,
SB,2/23/2022 1:10:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 1:20:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 1:30:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 1:40:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 1:50:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
MB,2/23/2022 2:00:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
MB,2/23/2022 2:10:00,RA,None,,,no,,8.0,,No,,,None,,,,,,,
MB,2/23/2022 2:20:00,DZ,None,,,no,,8.0,,No,,,None,,,,,,,
MB,2/23/2022 2:30:00,DZ,None,,,yes,,8.0,,No,,,None,,,,,,,
MB,2/23/2022 2:40:00,RA,None,,,yes,,8.0,Wind of about 3-4m/s with gusts to 6m/s out of the SW,No,,,None,,,,,,,
MB,2/23/2022 2:50:00,DZ,None,,,no,,8.0,,No,,,None,,,,,,,
BH,2/23/2022 3:00:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
BH,2/23/2022 3:10:00,None,None,,,no,,8.0,Temp 43F 4 m/s SW wind,No,,,None,,,,,,,
BH,2/23/2022 3:20:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
BH,2/23/2022 3:30:00,None,None,,,no,,8.0,Temp 44F 3.6 m/s SW wind,No,,,None,,,,,,,
BH,2/23/2022 3:40:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
BH,2/23/2022 3:50:00,None,None,,,no,,8.0,Temp 43.5F 3.0m/s SW wind,No,,,None,,,,,,,
SB,2/23/2022 4:00:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 4:10:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 4:20:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 4:30:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 4:40:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 4:50:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
SB,2/23/2022 5:00:00,None,None,,,no,,8.0,,No,,,None,,,,,,,
