Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
MG,2/21/2022 12:00:00,None,None,No,No,no,,,,No,,,None,,,,21.0,0.0,,"-Ice accretion measured on copper rod with 21mm diameter oriented with 30deg. elevation angle (pointing ENE) 
- For recorded ice accretion measurements on form, the observer "" subtracted the rod diameter and divided it by two already and we took the difference between the current and previous measurement""  (accurding to Margaux Girouard). For consistentcy with other reports, the lead ground obs scientist (Justin Minder) converted the values in the spreadsheet back to raw caliper readings."
ÉC,2/22/2022 21:00:00,None,None,,,yes,As,8.0,-9°C wind NE 10-15KT No precip,No,,,None,,,,21.0,0.0,,- Start time of ice acretion measruments
Mg,2/22/2022 21:20:00,None,None,No,No,yes,,8.0,,No,,,None,,,,21.0,0.0,,
ÉC,2/22/2022 21:40:00,None,None,,No,yes,St,8.0,-9°C wind NE 15G20KT,No,,,None,,,,21.0,0.0,,
ÉC,2/22/2022 21:50:00,None,None,,,no,St,8.0,-9°C NE 10KT No precip,No,,,None,,,,21.0,0.0,,
ÉC,2/22/2022 22:00:00,FRDZ,PL,,,yes,Ns,8.0,-9°C Very light Freezing Drizzle with few ice pellets NE wind 10KT,No,,,None,,,,21.0,0.0,,
ÉC,2/22/2022 22:10:00,PL,FRDZ,No,Uncertain,yes,Ns,8.0,-9°C Light ice pellets winds NE 5-10KT,No,,,None,,,,21.0,0.0,,
ÉC,2/22/2022 22:20:00,PL,FZRA,No,No,yes,,,-9°C Light ice pellets light freezing rain NE wind 5-10KT,No,,,None,,,,21.0,0.0,,
ÉC,2/22/2022 22:30:00,PL,FZRA,No,No,yes,,,-9°C Light to moderate ice pellets light freezing rain NE wind 5-10KT,Yes (macro DSLR),"Iso : 100, shutter speed : 1/5 and aperture : F22",Started photo collection - focus adjustments,None,,,,21.0,0.0,,
ÉC,2/22/2022 22:40:00,PL,None,No,No,yes,,,-9°C Light to moderate ice pellets NE wind 10KT,Yes (macro DSLR),Same as previous photo,,None,,,,21.0,0.0,,
ÉC,2/22/2022 22:50:00,PL,None,No,No,yes,,,-8°C Light to moderate ice pellets NE wind 5-10KT,Yes (macro DSLR),Same as previous photo,,None,,,,21.0,0.0,,
ÉC,2/22/2022 23:00:00,PL,None,No,No,yes,,,-8°C light ice pellets wind NE 10-15KT,Yes (macro DSLR),,,None,,,,21.0,0.0,,
ÉC,2/22/2022 23:10:00,PL,None,No,No,yes,,,-8°C Light ice pellets wind NE 15G20KT,Yes (macro DSLR),,,None,,,,21.0,0.0,,
