Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
RB,2022-03-06 9:00:00,PL,None, , ,yes,,,,No,,,None,,,,,,,
BF,2022-03-06 9:10:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
BF,2022-03-06 9:20:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
BF,2022-03-06 9:30:00,PL,None, , ,yes,,,,No,,,None,,,,,,,
BF,2022-03-06 9:40:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
BF,2022-03-06 10:00:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
RB,2022-03-06 10:10:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,2022-03-06 10:20:00,DZ,None, , ,yes,,,Extremely light drizzle,No,,,None,,,,,,,
RB,2022-03-06 10:30:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,2022-03-06 10:40:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,2022-03-06 10:50:00,None,DZ, , ,yes,,,,No,,,None,,,,,,,
BF,2022-03-06 11:00:00,None,None, , ,yes,,,,No,,,None,,,,,,,
BF,2022-03-06 11:20:00,None,None, , ,yes,,,,No,,,None,,,,,,,
BF,2022-03-06 11:30:00,None,None, , ,yes,,,,No,,,None,,,,,,,
BF,2022-03-06 11:40:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,2022-03-06 12:00:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,2022-03-06 12:10:00,None,None, , ,yes,As,6.0,,No,,,None,,,,,,,
RB,2022-03-06 12:40:00,None,None, , ,yes,,,,No,,,None,,,,,,,
RB,2022-03-06 12:50:00,None,None, , ,yes,As,6.0,,No,,,None,,,,,,,
BF,2022-03-06 13:00:00,None,None, , ,yes,As,7.0,,No,,,None,,,,,,,
BF,2022-03-06 13:10:00,None,None, , ,yes,As,8.0,,No,,,None,,,,,,,
BF,2022-03-06 13:20:00,RA,None, , ,yes,As,8.0,,No,,,None,,,,,,,
BF,2022-03-06 13:30:00,DZ,None, , ,yes,As,8.0,,No,,,None,,,,,,,
BF,2022-03-06 13:40:00,DZ,None, , ,yes,As,8.0,,No,,,None,,,,,,,
BF,2022-03-06 14:00:00,RA,None, , ,yes,As,8.0,,No,,,None,,,,,,,
RB,2022-03-06 14:10:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,2022-03-06 14:20:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,2022-03-06 14:30:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,2022-03-06 14:40:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,2022-03-06 14:50:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,2022-03-06 15:00:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,2022-03-06 15:10:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,2022-03-06 15:20:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,2022-03-06 15:30:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,2022-03-06 16:00:00,RA,None, , ,no,Ns,8.0,,No,,,None,,,,,,,
RB,2022-03-06 16:10:00,DZ,None, , ,yes,,,,No,,,None,,,,,,,
RB,2022-03-06 16:20:00,DZ,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,2022-03-06 16:30:00,DZ,None, , ,yes,Ns,8.0,Extremely light drizzle,No,,,None,,,,,,,
RB,2022-03-06 17:20:00,None,None, , ,yes,As,6.0,,No,,,None,,,,,,,
RB,2022-03-06 17:30:00,None,None, , ,yes,As,6.0,,No,,,None,,,,,,,
