Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
RB,3/7/2022 15:00:00,RA,PL, , ,yes,Ns,8.0,,Yes (cell phone only),,,None,,,,,,,
BF,3/7/2022 15:10:00,PL,None, , ,no,Ns,8.0,Couldn’t get service for mPING ,No,,,None,,,,,,,
RB,3/7/2022 15:20:00,PL,RA, , ,yes,Ns,8.0,Lighter precip,Yes (cell phone only),,,None,,,,,,,
RB,3/7/2022 15:30:00,PL,RA, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 15:40:00,PL,None, , ,no,Ns,8.0,Lighter intensity IP,No,,,None,,,,,,,
BF,3/7/2022 15:50:00,PL,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 16:00:00,PL,None, , ,yes,Ns,8.0,Very very light intensity ,No,,,None,,,,,,,
RB,3/7/2022 16:10:00,PL,None, , ,yes,Ns,8.0,Small ice pellets,No,,,None,,,,,,,
RB,3/7/2022 16:20:00,PL,None, , ,yes,Ns,8.0,Very light ice pellet precipitation ,No,,,None,,,,,,,
RB,3/7/2022 16:30:00,PL,None, , ,yes,Ns,8.0,Extremely light- barely precipitating ,No,,,None,,,,,,,
RB,3/7/2022 16:40:00,None,None, , ,yes,St,8.0,,No,,,None,,,,,,,
RB,3/7/2022 16:50:00,None,None, , ,yes,St,8.0,,No,,,None,,,,,,,
RB,3/7/2022 17:00:00,None,None, , ,No,St,8.0,,No,,,None,,,,,,,
RB,3/7/2022 17:10:00,None,None, , ,No,St,8.0,,No,,,None,,,,,,,
RB,3/7/2022 17:20:00,None,None, , ,No,St,8.0,,No,,,None,,,,,,,
RB,3/7/2022 17:30:00,None,None, , ,No,St,8.0,,No,,,None,,,,,,,
RB,3/7/2022 17:40:00,None,None, , ,No,St,8.0,,No,,,None,,,,,,,
BF,3/7/2022 17:50:00,PL,None, , ,No,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 18:00:00,PL,None, , ,No,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 18:10:00,PL,RA, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 18:20:00,PL,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 18:30:00,RA,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 18:40:00,None,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,3/7/2022 18:50:00,None,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,3/7/2022 19:00:00,None,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
RB,3/7/2022 19:10:00,None,None, , ,No,Ns,8.0,,No,,,None,,,,,,,
RB,3/7/2022 19:20:00,None,None, , ,No,Ns,8.0,,No,,,None,,,,,,,
RB,3/7/2022 19:30:00,None,None, , ,No,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 19:40:00,DZ,None, , ,yes,Ns,8.0,Very fine droplets,No,,,None,,,,,,,
BF,3/7/2022 20:00:00,DZ,None, , ,No,Ns,8.0,"Heavy drizzle, fine drops",No,,,None,,,,,,,
BF,3/7/2022 20:10:00,DZ,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 20:20:00,DZ,None, , ,yes,Ns,8.0,,No,,,None,,,,,,,
BF,3/7/2022 20:30:00,DZ,None, , ,yes,Ns,8.0,Very fine drizzle,No,,,None,,,,,,,
RB,3/7/2022 20:40:00,DZ,None, , ,No,Ns,8.0,Very fine drizzle,No,,,None,,,,,,,
RB,3/7/2022 20:50:00,DZ,None, , ,No,Ns,8.0,Very fine drizzle,No,,,None,,,,,,,
