Observer initials,Date & time (UTC),Primary p-type,Secondary p-type,Wet/melting p-type,Liquid-core IP,mPING report,Cloud type,Sky cover,Weather / p-type comments,Hydrometeor photos,Camera settings,Photo comments,Snow / ice measurements,Interval snow depth (mm),Interval SWE (mm),Snowboard interval (hr),Ice accretion caliper reading (mm),Radial ice accretion (mm),Ice accretion period (hr),Snow and ice comments
ML,2022-03-14 23:00:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
ML,2022-03-15 23:30:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
ML,2022-03-15 00:00:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 00:10:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 00:20:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 00:30:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 00:40:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 00:50:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 01:00:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 01:10:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 01:20:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 01:30:00,RA,None,,,yes,St,8,light rain ,No,,,None,,,,, ,,
MG,2022-03-15 01:40:00,RA,None,,,yes,St,8,light rain ,No,,,None,,,,, ,,
MG,2022-03-15 01:50:00,RA,None,,,yes,St,8,light rain ,No,,,None,,,,, ,,
MG,2022-03-15 02:00:00,RA,None,,,no,St,8,light rain ,No,,,None,,,,, ,,
MG,2022-03-15 02:10:00,RA,None,,,yes,St,8,light rain ,No,,,None,,,,, ,,
MG,2022-03-15 02:20:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 02:30:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 02:40:00,DZ,None,,,yes,St,8,weak dz,No,,,None,,,,, ,,
MG,2022-03-15 02:50:00,RA,None,,,yes,St,8,light rain ,No,,,None,,,,, ,,
MG,2022-03-15 03:00:00,RA,None,,,yes,St,8,moderate rain ,No,,,None,,,,, ,,
MG,2022-03-15 03:10:00,RA,None,,,yes,St,8,moderate rain ,No,,,None,,,,, ,,
MG,2022-03-15 03:20:00,RA,None,,,yes,St,8,moderate rain ,No,,,None,,,,, ,,
MG,2022-03-15 03:30:00,RA,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 03:40:00,RA,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 03:50:00,RA,None,,,no,St,8,slush particles observed ,No,,,None,,,,, ,,
MG,2022-03-15 04:00:00,RA,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 04:10:00,RA,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 04:20:00,RA,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 04:30:00,SN,None,yes,,yes,St,8,slush and some wet snow ,No,,,None,,,,, ,,
MG,2022-03-15 04:40:00,SN,None,yes,,yes,St,8,wet snow,No,,,None,,,,, ,,
MG,2022-03-15 04:50:00,SN,None,yes,,yes,St,8,"wet snow, large aggregate ",No,,"Nikon camera used without the scannig protocol, aimed for one snowflake ",None,,,,, ,,
MG,2022-03-15 05:00:00,SN,None,yes,,yes,St,8,"wet snow, large aggregate ",No,,"Nikon camera used without the scannig protocol, aimed for one snowflake ",None,,,,, ,,
MG,2022-03-15 05:20:00,SN,RA,yes,,yes,St,8,wet snow ,No,,,None,,,,, ,,
MG,2022-03-15 05:30:00,DZ,None,,,yes,St,8,very light drizzle ,No,,,None,,,,, ,,
MG,2022-03-15 05:40:00,DZ,None,,,yes,St,8,very light drizzle ,No,,,None,,,,, ,,
MG,2022-03-15 05:50:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 06:00:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 06:00:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 06:10:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 06:20:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 06:30:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 06:40:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
MG,2022-03-15 06:50:00,None,None,,,yes,St,8,,No,,,None,,,,, ,,
